,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
0,"2 BD, Onsite Dog Park​, Situated in Lancaster!",Mar  6,1372,2,2,989,43519 Kirkland Ave,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment ,34.673281,-118.124672,https://images.craigslist.org/00p0p_2f0zfxaYhO3_600x450.jpg
1,"2 Pools, Courtesy Patrol",Mar  6,1375,2,1,872,38300 30th Street East,1. apartment ,34.576956,-118.076008,https://images.craigslist.org/00i0i_epKio7OBXjG_600x450.jpg
2,Ready now Last unit come see your new home Select unit,Mar  6,1150,0,1,484,38441 5th St. West,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. carport ,34.579415,-118.136874,https://images.craigslist.org/00j0j_8kwygwSktMi_600x450.jpg
3,1 BD + 1 BT WATER PAID$ UTILITY$ NEW FLOORS & WINDOWS *GREEN COURTYARD,Mar  6,895,1,1,510,2184 POPLAR ST.,1. apartment 2. laundry on site 3. off-street parking ,34.861017,-118.169932,https://images.craigslist.org/01111_bhH39jviJB9_600x450.jpg
4,1 BD + 1 BT WATER PAID$ UTILITY$ NEW FLOORS & WINDOWS *GREEN COURTYARD,Mar  6,895,1,1,510,2184 POPLAR ST.,1. apartment 2. laundry on site 3. off-street parking ,34.861017,-118.169932,https://images.craigslist.org/01111_bhH39jviJB9_600x450.jpg
5,1+1 Apartment for Rent - Las Flores Apartments,Mar  6,1525,1,1,,Bouquet Canyon Road at Magic Mountain Pkwy,1. apartment 2. laundry on site 3. no smoking 4. carport ,34.412572,-118.540727,https://images.craigslist.org/00X0X_6VnHbMcPaXH_600x450.jpg
6,1 BD + 1 BT WATER PAID$ UTILITY$ NEW FLOORS & WINDOWS *GREEN COURTYARD,Mar  6,895,1,1,510,2184 POPLAR ST.,1. apartment 2. laundry on site 3. off-street parking ,34.861017,-118.169932,https://images.craigslist.org/01111_bhH39jviJB9_600x450.jpg
7,"Walk-In Closets, Three Sparkling Swimming Pools, Modern Fitness Center",Mar  6,1317,2,1,853,43530 Gadsden Ave,1. apartment ,34.673890,-118.143568,https://images.craigslist.org/00i0i_9FU5bbQgOBq_600x450.jpg
8,"Come home and relax in our beautiful garden-style 2 bed, 2 bath!",Mar  6,1722,2,2,828,570 Knollview Ct,1. apartment 2. laundry on site 3. no smoking ,34.578295,-118.140011,https://images.craigslist.org/00u0u_34DWdpBfVUn_600x450.jpg
9,"Onsite Dog Park​, Two Spas, Onsite Laundry Facility",Mar  6,1372,2,2,989,43519 Kirkland Ave,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment ,34.673281,-118.124672,https://images.craigslist.org/00p0p_2f0zfxaYhO3_600x450.jpg
10,"Central heating & air conditioning, Private detached garages",Mar  6,1780,1,1,643,16613 Foothill Boulevard,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. carport ,34.321683,-118.495970,https://images.craigslist.org/00y0y_LIzIVi1yer_600x450.jpg
11,Love where you live! Canyon Country Villas!,Mar  6,1950,2,2,1050,,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. detached garage ,34.426200,-118.449000,https://images.craigslist.org/00i0i_1Bsn1e2JlLs_600x450.jpg
12,"Carpeted, Clubhouse, Pet Friendly",Mar  6,1155,1,1,719,44045 15th St. W.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. carport ,34.683733,-118.156886,https://images.craigslist.org/00I0I_8DjQxJTNkvR_600x450.jpg
13,By lake vacation house,Mar  6,2500,2,1,2000,,1. furnished 2. house 3. w/d in unit 4. no smoking 5. valet parking ,34.736873,-117.356232,
14,"Close to Restaurants, Spacious Floorplans, Bike Storage",Mar  6,1250,1,1,720,38300 30th Street East,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment ,34.576956,-118.076008,https://images.craigslist.org/00r0r_kXkzhWV1GNO_600x450.jpg
15,Prime West Lancaster,Mar  6,1950,3,25,1650,Avenue J-3,1. house 2. w/d hookups 3. no smoking 4. attached garage ,34.686396,-118.193386,https://images.craigslist.org/00p0p_9LyZKQ6er6Z_600x450.jpg
16,Available NOW Quartz Hill 2+2,Mar  6,1200,2,2,900,Columbia at 50th West,1. apartment 2. laundry in bldg 3. no smoking 4. detached garage ,34.645521,-118.229652,https://images.craigslist.org/00O0O_ds3vlhzFtyW_600x450.jpg
