,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
0,2 Bedroom 2 bath condo for rent,Mar  6,1800,2,2,881,Cedros at Nordhoff,1. cats are OK - purrr 2. dogs are OK - wooof 3. condo 4. laundry on site 5. carport 6. wheelchair accessible ,34.235303,-118.453516,https://images.craigslist.org/00V0V_6wjLWelkaJu_600x450.jpg
1,Top floor one bedroom available beginning of April,Mar  6,2634,1,1,766,639 N. Broadway,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. attached garage 7. wheelchair accessible ,34.061400,-118.238500,https://images.craigslist.org/00K0K_esby49PD7X6_600x450.jpg
2,"Apt. That Cares. Includes Package Concierge, 24hr Patrol, & MORE",Mar  6,2745,2,2,946,725 S BIXEL ST,1. apartment 2. w/d in unit 3. attached garage ,34.050617,-118.264203,https://images.craigslist.org/00P0P_8QMmXR2we3P_600x450.jpg
3,"Walking distance to the best restaurants, shopping, and nightlife on M",Mar  6,2095,2,1,1000,,1. apartment 2. w/d in unit 3. off-street parking ,34.069900,-118.349200,https://images.craigslist.org/00H0H_6kOwehIeUdq_600x450.jpg
4,Spacious 2x2 home available TODAY! Walkable Koreatown location!,Mar  6,2681,2,2,1175,333 S Catalina St,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. carport 6. wheelchair accessible ,34.068641,-118.295528,https://images.craigslist.org/00S0S_eyaXGm1vhFe_600x450.jpg
5,Stunning studio w/ tons of light!! W/D & parking,Mar  6,2125,0,1,,,1. cats are OK - purrr 2. apartment 3. w/d in unit 4. no smoking 5. off-street parking 6. wheelchair accessible ,34.076600,-118.264600,https://images.craigslist.org/00o0o_9uSULhlxQ3T_600x450.jpg
6,895 Sq. Ft. Beautiful luxurious urban living awaits you!,Mar  6,2555,0,1,895,400 S Main St,1. cats are OK - purrr 2. dogs are OK - wooof 3. loft 4. laundry in bldg 5. detached garage ,34.048212,-118.247207,https://images.craigslist.org/00101_50I6cM42WeL_600x450.jpg
7,Beautiful 2bd/1bth apt**1008 Rosemont Ave,Mar  6,1900,2,1,850,,1. apartment 2. laundry on site 3. attached garage ,34.076992,-118.266659,https://images.craigslist.org/00K0K_5T52L1ZmZlI_600x450.jpg
8,"Stone countertops, Tons of natural light, Gated Parking, New Flooring",Mar  6,3395,2,1,,Waverly Dr at Herkimer St,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. attached garage ,34.110009,-118.266608,https://images.craigslist.org/00W0W_9yPmTjNo0p3_600x450.jpg
9,"Studio Apartment, One block to beach",Mar  6,1925,0,1,390,1720 Pacific Ave,1. apartment 2. laundry in bldg 3. no smoking 4. attached garage ,33.987086,-118.470715,https://images.craigslist.org/00a0a_doOPKtMcb5y_600x450.jpg
