,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
0,"1 Bedroom, Nest smart thermostats, Bike storage",Mar  6,2865,1,1,912,245 W Broadway,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. attached garage ,33.769773,-118.194635,https://images.craigslist.org/00u0u_g1VSN8J7z7B_600x450.jpg
1,largest one bedroom,Mar  6,1950,1,1,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. wheelchair accessible ,33.770600,-118.182000,https://images.craigslist.org/00J0J_1gWN69uqK8f_600x450.jpg
2,Resort-like living in Long Beach!,Mar  6,2250,,,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. wheelchair accessible ,33.771600,-118.148000,https://images.craigslist.org/00C0C_lhwOhtTsLf4_600x450.jpg
3,BEAUTIFUL 2 BEDROOM 2.5 BATH TOWNHOUSE,Mar  6,2892,2,25,1450,park ave at garford st,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. carport ,33.793900,-118.119200,https://images.craigslist.org/00d0d_iNawhyluJjf_600x450.jpg
4,This is the largest one bedroom floor plan,Mar  6,1950,1,1,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. wheelchair accessible ,33.770600,-118.182000,https://images.craigslist.org/00J0J_1gWN69uqK8f_600x450.jpg
5,Resort-like living in Long Beach,Mar  6,2250,1,1,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. wheelchair accessible ,33.771600,-118.148000,https://images.craigslist.org/00C0C_lhwOhtTsLf4_600x450.jpg
6,Large 2 bedroom 2 bath! Guard gated community! Amenities galore!!,Mar  6,2892,2,2,1450,park ave at GARFORD ST,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. carport ,33.793900,-118.119200,https://images.craigslist.org/00F0F_1t5vILe1eic_600x450.jpg
7,Exclusive community in guarded gated community! Only 1 apartment available!,Mar  6,3100,2,25,1566,park ave at garford st,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. carport ,33.793900,-118.119200,https://images.craigslist.org/00d0d_iNawhyluJjf_600x450.jpg
8,Renovated 3bd 2bth 2 car garage,Mar  6,1600,3,2,1520,,1. cats are OK - purrr 2. dogs are OK - wooof 3. house 4. w/d hookups 5. attached garage ,33.892500,-118.296100,https://images.craigslist.org/00a0a_dTUTVuwbWrs_600x450.jpg
9,Dual Master with Hardwood and Lots of Sunlight.,Mar  6,2530,2,2,891,3500 Hathaway Ave.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. no smoking 6. carport ,33.793186,-118.148419,https://images.craigslist.org/01313_khAKrgeDPvB_600x450.jpg
10,"Complimentary Bike Rental, Ice Maker, Central Heat",Mar  6,2076,1,1,712,1081 Long Beach Blvd.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. off-street parking 7. wheelchair accessible ,33.780451,-118.189501,https://images.craigslist.org/00W0W_3YXLhbILOlC_600x450.jpg
11,Gorgeous one bedroom with huge living spaces,Mar  6,1882,1,1,825,park ave at garford st,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. detached garage ,33.793900,-118.119200,https://images.craigslist.org/00D0D_2SNjPchhCxv_600x450.jpg
