,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
0,2B/2.5B Town House Valley Heart,Mar  6,3175,2,25,,6360 Van Nuys Blvd,1. townhouse 2. w/d in unit 3. attached garage ,34.186053,-118.448915,https://images.craigslist.org/00707_feafn6Jh6wj_600x450.jpg
1,1Bd + 1 bath in ENCINO,Mar  6,1695,1,1,,Zelzah at Ventura,1. apartment 2. laundry on site 3. no smoking 4. off-street parking 5. wheelchair accessible ,34.168973,-118.522310,https://images.craigslist.org/00Y0Y_k2yBbUJ6XOE_600x450.jpg
2,$500 off 1st & price drop!! Call about this 3X2!!,Mar  6,2695,3,2,,,1. cats are OK - purrr 2. dogs are OK - wooof 3. manufactured 4. no smoking ,34.205700,-118.400100,https://images.craigslist.org/00303_e4uh73xbUIg_600x450.jpg
3,"Short-Term, Turn-key fully furnished model 3 bed/3 bath",Mar  6,5000,3,3,2400,,1. condo 2. w/d in unit 3. attached garage ,34.151000,-118.366300,https://images.craigslist.org/00v0v_6BNeDYWwD1Z_600x450.jpg
4,DEPOSIT SPECIAL!!  $100 Deposit on Approved Credit!,Mar  6,2105,1,1,755,6150 Canoga Avenue,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit ,34.181947,-118.597349,https://images.craigslist.org/00A0A_2vhExdOQ7Yy_600x450.jpg
5,You'll have a HOOT at Sand Canyon Villas,Mar  6,2055,3,2,1128,28923 N. Prairie Lane,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. detached garage ,34.430544,-118.416051,https://images.craigslist.org/00v0v_5pPzVxXcjJs_600x450.jpg
6,You'll have a HOOT at Sand Canyon Villas,Mar  6,2055,3,2,1128,28923 N. Prairie Lane,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. detached garage ,34.430544,-118.416051,https://images.craigslist.org/00v0v_5pPzVxXcjJs_600x450.jpg
7,"Hollywood Hills /Universal  1+1 $2,000.00 month",Mar  6,2000,1,1,,3268 Barham Blvd.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. attached garage ,34.130521,-118.345821,https://images.craigslist.org/00M0M_hsF7IIMoXCH_600x450.jpg
8,You'll have a HOOT at Sand Canyon Villas,Mar  6,2055,3,2,1128,28923 N. Prairie Lane,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. detached garage ,34.430544,-118.416051,https://images.craigslist.org/00v0v_5pPzVxXcjJs_600x450.jpg
9,2-Car Garage/Washer/Dryer/Dishwasher/Stove/Microwave All Included !!!!,Mar  6,2399,3,25,1309,,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. attached garage ,34.413200,-118.426000,https://images.craigslist.org/01313_k8ha1n0ofb6_600x450.jpg
10,2 Bed+2 Bath w/Den in Sherman Oaks - Must See -Pool - Quartz Counters,Mar  6,2650,2,2,1100,Dickens Street at Kester Avenue,1. cats are OK - purrr 2. apartment 3. laundry on site 4. off-street parking ,34.150906,-118.457115,https://images.craigslist.org/00w0w_9QCC36mVEGx_600x450.jpg
11,These move-in deals are going fast!  Hurry come see Lombardi !,Mar  6,2345,2,2,1200,Topanga at Burbank,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. carport 6. wheelchair accessible ,34.172471,-118.606167,https://images.craigslist.org/00e0e_ibzjLkY2rjF_600x450.jpg
12,1 Bed/1 Bath - Starting from $1817,Mar  6,1817,1,1,695,21200 Kittridge St,1. cats are OK - purrr 2. apartment 3. w/d in unit 4. attached garage ,34.190302,-118.593944,https://images.craigslist.org/00c0c_1wVtvqvktzV_600x450.jpg
13,2-Car Garage/Washer/Dryer/Dishwasher/Stove/Microwave All Included !!!!,Mar  6,1899,2,25,1032,,1. cats are OK - purrr 2. dogs are OK - wooof 3. townhouse 4. w/d in unit 5. detached garage ,34.413200,-118.426000,https://images.craigslist.org/01313_k8ha1n0ofb6_600x450.jpg
14,SPECIAL 1 Bed 1 BA in Northridge/Nearby CSUN | Walk-in Closet | Quartz,Mar  6,1725,1,1,768,18541 Vincennes,1. cats are OK - purrr 2. apartment 3. laundry on site 4. off-street parking ,34.240700,-118.537339,https://images.craigslist.org/00G0G_2OfsVKCDbaJ_600x450.jpg
15,♫ 2 Bedroom With SS Appliances - Large Balcony in Northridge ♫,Mar  6,1975,2,2,975,9601 Reseda,1. cats are OK - purrr 2. apartment 3. laundry on site ,34.244799,-118.536119,https://images.craigslist.org/00p0p_l8W1TBwtSqs_600x450.jpg
16,"3+2 Toluca Lake /Toluca Woods,Studio City NOHO     $1,000 Deposit",Mar  6,3200,3,2,,Huston,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. off-street parking ,34.159106,-118.352211,https://images.craigslist.org/00j0j_9Sde1x68xiX_600x450.jpg
17,You'll have a HOOT at Sand Canyon Villas,Mar  6,2055,3,2,1128,28923 N. Prairie Lane,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. detached garage ,34.430544,-118.416051,https://images.craigslist.org/00v0v_5pPzVxXcjJs_600x450.jpg
18,You'll have a HOOT at Sand Canyon Villas,Mar  6,2095,3,2,1128,28923 N. Prairie Lane,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. detached garage ,34.430544,-118.416051,https://images.craigslist.org/00v0v_5pPzVxXcjJs_600x450.jpg
19,"125.  Our ""Must Have"" 2 Bed + 1 Bath!! Just Ask For A Tour & See!",Mar  6,1845,2,1,,271 Parke St. Pasadena,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment ,34.146800,-118.139100,https://images.craigslist.org/01111_4vHdYAJqCty_600x450.jpg
20,Welcome home to gorgeous luxury 2 bedroom 2 bathroom in Sherman Oaks,Mar  6,2730,2,2,797,4500 Woodman Avenue,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. no smoking 6. off-street parking ,34.152906,-118.431514,https://images.craigslist.org/00E0E_3g0BR80u9qI_600x450.jpg
21,2 Bedroom 1 Bath in heart of Warner Center,Mar  6,1950,2,1,762,21601 Erwin St,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. carport ,34.182862,-118.600071,https://images.craigslist.org/01313_bzxiY1fjrLA_600x450.jpg
