,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
0,"2 Bedrooms 2 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1950,2,2,1104,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00r0r_5kDVAqCvD6g_600x450.jpg
1,"2 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1850,2,1,1000,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00r0r_5kDVAqCvD6g_600x450.jpg
2,"1 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1595,1,1,750,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
3,"1 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1595,1,1,750,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
4,"1 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1595,1,1,750,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
5,"2 Bedrooms 2 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1950,2,2,1104,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
6,"2 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1850,2,1,1000,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00r0r_5kDVAqCvD6g_600x450.jpg
7,"1 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1595,1,1,750,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
8,"2 Bedrooms 2 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1950,2,2,1104,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00r0r_5kDVAqCvD6g_600x450.jpg
9,"2 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1850,2,1,1000,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00r0r_5kDVAqCvD6g_600x450.jpg
10,"1 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1595,1,1,750,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
11,"Washer and Dryer Connections, Fire Pit",Mar  6,1625,1,1,751,2600 S. Azusa Ave.,1. cats are OK - purrr 2. apartment 3. w/d hookups 4. carport ,34.030341,-117.915186,https://images.craigslist.org/00o0o_lsoBLk5RzA8_600x450.jpg
12,"2 Bedrooms 2 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1950,2,2,1104,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
13,"1 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1595,1,1,750,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
14,"2 Bedrooms 2 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1950,2,2,1104,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
15,"FREE RENT FOR ONE MONTH? YES, PLEASE! COME SEE THIS LOVELY UNITS!",Mar  6,1995,2,1,850,13919 Coteau Dr,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. off-street parking ,33.921725,-118.034522,https://images.craigslist.org/00S0S_fUBNCYh55nu_600x450.jpg
16,"1 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1595,1,1,750,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00R0R_eVFxSv5r4W0_600x450.jpg
17,"2 Bedrooms 1 Bathroom, Central AC, Patio or Balcony and Storage!",Mar  6,1850,2,1,1000,,1. apartment 2. laundry on site 3. carport ,34.022900,-117.897500,https://images.craigslist.org/00r0r_5kDVAqCvD6g_600x450.jpg
