,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
0,"This place will feel like home! 1 bed, 1.5 bath available!",Mar  6,3842,1,15,1021,13900 Marquesas way,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. detached garage ,33.975947,-118.452616,https://images.craigslist.org/00P0P_clWYPSOdpOl_600x450.jpg
1,"Great, Spacious, Comfy 1 Bedroom",Mar  6,1500,1,1,630,948 S. Inglewood,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site ,33.951369,-118.361308,https://images.craigslist.org/00I0I_kXvVwOgAigZ_600x450.jpg
2,1 Bedroom in Torrance | Beautiful Landscaping | Gym | Call Us Today!,Mar  6,1780,1,1,700,20440 Anza Avenue,1. apartment 2. laundry on site 3. carport ,33.845776,-118.362407,https://images.craigslist.org/00H0H_7zWx9G55N2Z_600x450.jpg
3,Resort-Style On The Westside/Mar Vista 1 Bedroom|Pool-Gym + Much More,Mar  6,2200,1,1,700,3201 Overland,1. cats are OK - purrr 2. apartment 3. laundry on site 4. detached garage ,34.027978,-118.414840,https://images.craigslist.org/00p0p_eckS4oeRJ5z_600x450.jpg
4,Beautiful views! This 2br is stunning! Visit today! 1359 Sq Ft!,Mar  6,4825,2,25,1359,13900 Marquesas way,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. detached garage ,33.975947,-118.452616,https://images.craigslist.org/00P0P_clWYPSOdpOl_600x450.jpg
5,"Great, Spacious, Comfy 1 Bedroom",Mar  6,1500,1,1,630,948 S. Inglewood,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site ,33.951369,-118.361308,https://images.craigslist.org/00I0I_kXvVwOgAigZ_600x450.jpg
6,Americana / IL Pompeii Apartments,Mar  6,1350,0,1,325,3635 W. Artesia Blvd.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. carport ,33.872615,-118.325106,https://images.craigslist.org/00W0W_9v3Og1K6FRC_600x450.jpg
7,Beautiful views! This 2br is stunning! Visit today! 1359 Sq Ft!,Mar  6,4825,2,25,1359,13900 Marquesas way,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. detached garage ,33.975947,-118.452616,https://images.craigslist.org/00P0P_clWYPSOdpOl_600x450.jpg
8,"Stainless Steel Appliances, European-style cabinetry, Refrigerator",Mar  6,2894,2,2,951,21800 Avalon Blvd.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. wheelchair accessible ,33.828817,-118.263705,https://images.craigslist.org/00R0R_gIPDFO1TPp0_600x450.jpg
9,1 Bed+Den In the HEART of Beverly Hills || A/C || Hardwood Floors,Mar  6,2395,1,1,,9850 Olympic Boulevard,1. cats are OK - purrr 2. apartment 3. laundry on site 4. no smoking 5. off-street parking ,34.059462,-118.409940,https://images.craigslist.org/00Q0Q_8LWqxprqLsb_600x450.jpg
10,Best price! * Terrific Studio* CALL NOW!,Mar  6,899,0,1,,3659 Overland Ave,1. apartment 2. street parking ,34.029000,-118.400500,https://images.craigslist.org/00b0b_6VhdUfcYCAj_600x450.jpg
11,Renovated 1 Bedroom In Santa Monica| W/D | Blocks from the Beach,Mar  6,3495,1,1,750,2727 sixth St,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit ,34.004045,-118.477973,https://images.craigslist.org/00s0s_jLG4ZwToghm_600x450.jpg
12,Efficiency in Venice-Nearby the Beach-Hardwood Floors,Mar  6,1550,0,1,,237 Fourth Avenue,1. apartment 2. laundry in bldg 3. off-street parking ,33.998559,-118.475924,https://images.craigslist.org/00K0K_6yK2JcwCfVd_600x450.jpg
13,Spacious 1 Bedroom for Summer Session at UCLA! Walk to Class!,Mar  6,2528,1,1,700,415 Gayley Ave.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. no smoking 6. off-street parking ,34.070308,-118.454563,https://images.craigslist.org/00h0h_k7wojloX9kB_600x450.jpg
14,1 BED 1 BA in West L.A | Wood Plank Floors | Refrigerator,Mar  6,2495,1,1,670,1801 Federal Avenue,1. cats are OK - purrr 2. apartment 3. laundry on site ,34.041209,-118.450912,https://images.craigslist.org/00808_3NPXUswDmBX_600x450.jpg
15,"Great, Spacious, Comfy 1 Bedroom",Mar  6,1500,1,1,630,948 S. Inglewood,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site ,33.951369,-118.361308,https://images.craigslist.org/00I0I_kXvVwOgAigZ_600x450.jpg
16,Cute Studio  in Beverly Grove - Granite - Gated - Call Us Now!,Mar  6,1745,0,1,,416 S. Sherbourne/417 S. Holt,1. cats are OK - purrr 2. apartment 3. laundry on site 4. off-street parking ,34.071676,-118.379678,https://images.craigslist.org/00a0a_55iSCTz5gJJ_600x450.jpg
17,Massive 1 Bedroom Coming Soon,Mar  6,2395,1,1,758,Wilshire at Barrington Ave,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. detached garage ,34.049409,-118.460913,https://images.craigslist.org/00P0P_cfqBnNx9L1L_600x450.jpg
18,"Wireless internet in common areas, Santa Monica Adjacent",Mar  6,5570,3,3,,11950 Idaho Ave,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. attached garage 7. wheelchair accessible ,34.039909,-118.459812,https://images.craigslist.org/00r0r_iKZzKEZRJux_600x450.jpg
19,1+1 in Westchester/Marina Del Rey ADJ_Patio _Sauna_Air Conditioning,Mar  6,2495,1,1,750,8501 Sepulveda,1. cats are OK - purrr 2. apartment 3. laundry on site 4. detached garage ,34.224503,-118.467616,https://images.craigslist.org/00B0B_2ady135N57S_600x450.jpg
20,"Pet friendly, Nine to fourteen foot ceilings, Controlled access entry",Mar  6,4220,2,2,,11950 Idaho Ave,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. attached garage 7. wheelchair accessible ,34.039909,-118.459812,https://images.craigslist.org/00R0R_fXi7tj9OfIp_600x450.jpg
