,SOLD DATE,ADDRESS,CITY,STATE,POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY TYPE,SQUARE FOOT
0,FEB 22 2019,6307 Long St,Los Angeles,CA,90043,820000,4,3,SingleFamilyResidence,1786
1,FEB 22 2019,5475 Bohlig Rd #110,El Sereno,CA,90032,335000,2,2,SingleFamilyResidence,813
2,FEB 21 2019,336 N Plymouth Blvd,Los Angeles,CA,90004,1325500,2,2,SingleFamilyResidence,1455
3,FEB 19 2019,3027 7th Ave,Los Angeles,CA,90018,680000,3,2,SingleFamilyResidence,1255
4,FEB 14 2019,2121 Beloit Ave #305,Los Angeles (City),CA,90025,668800,2,2,SingleFamilyResidence,1050
5,FEB 12 2019,3738 Mound View Ave,Studio City,CA,91604,3250000,5,6,SingleFamilyResidence,4183
6,FEB 6 2019,2231 S Meyler St,San Pedro,CA,90731,500000,2,2,SingleFamilyResidence,1090
7,FEB 4 2019,7953 Cowper Ave,West Hills,CA,91304,950000,4,3,SingleFamilyResidence,2714
8,JAN 30 2019,1262 Pebble Dr,Harbor City,CA,90710,552500,4,325,SingleFamilyResidence,1690
9,FEB 22 2019,2915 St George St #3,Los Angeles,CA,90027,440000,1,1,SingleFamilyResidence,700
10,FEB 20 2019,1730 La Loma Rd,Pasadena,CA,91105,1085000,3,2,SingleFamilyResidence,1658
11,FEB 6 2019,3164 Atwater Ave,Los Angeles,CA,90039,800000,5,375,SingleFamilyResidence,2206
12,FEB 5 2019,19249 Hamlin St #4,Reseda,CA,91335,410000,2,15,SingleFamilyResidence,954
13,FEB 23 2019,8567 N Walnut Way,West Hills,CA,91304,587000,4,25,SingleFamilyResidence,1515
14,FEB 22 2019,22532 Berdon St,Woodland Hills,CA,91367,705000,3,2,SingleFamilyResidence,1690
15,FEB 22 2019,3668 Hughes Ave #1,Los Angeles (City),CA,90034,780000,2,25,SingleFamilyResidence,1180
16,FEB 22 2019,6142 West 6th St,Los Angeles (City),CA,90048,2100000,6,4,Accommodation,4069
17,FEB 22 2019,6525 La Mirada Ave #102,Los Angeles,CA,90038,510000,2,2,SingleFamilyResidence,1035
18,FEB 22 2019,23457 Styles St,Woodland Hills,CA,91367,817000,4,3,SingleFamilyResidence,1708
19,FEB 21 2019,10112 Valjean Ave,North Hills,CA,91343,556000,3,2,SingleFamilyResidence,1264
